article_url,comment_id,comment_text
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,1,I had no idea Lilith Fair was such a big deal for women in music. This documentary really opened my eyes.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,2,"Honestly, I feel like festivals today are more inclusive than what Lilith Fair tried to do back then."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,3,The 90s music scene was so male-dominated. It's inspiring to see how Lilith Fair pushed back against that.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,4,"CBC keeps romanticizing the past. Lilith Fair was nice, but it mostly catered to a specific demographic."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,5,I wish we had a modern version of Lilith Fair that included more diverse genres and identities.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,6,This documentary made me nostalgic. The performances and stories really brought back memories.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,7,It sounds like the industry learned very little since the 90s. Women are still underrepresented on festival lineups.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,8,"Great doc, but I wanted more critical discussion of who got left out of the Lilith Fair story."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,9,"I love how the festival used its platform for social causes, not just music."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,10,We need more content like this that celebrates women musicians and organizers.
