article_url,comment_id,comment_text,comment_clean,sentiment,stance,toxicity,topic,explanation
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,1,I had no idea Lilith Fair was such a big deal for women in music. This documentary really opened my eyes.,I had no idea Lilith Fair was such a big deal for women in music. This documentary really opened my eyes.,positive,supports_festival,none,impact of Lilith Fair,"The comment expresses a positive learning experience about the significance of Lilith Fair for women in music, indicating support for its historical importance. There is no toxic language present."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,2,"Honestly, I feel like festivals today are more inclusive than what Lilith Fair tried to do back then.","Honestly, I feel like festivals today are more inclusive than what Lilith Fair tried to do back then.",negative,criticizes_festival,none,festival inclusivity,The comment expresses a negative sentiment by stating that Lilith Fair was less inclusive than modern festivals. It directly criticizes the festival's inclusivity efforts.
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,3,The 90s music scene was so male-dominated. It's inspiring to see how Lilith Fair pushed back against that.,The 90s music scene was so male-dominated. It's inspiring to see how Lilith Fair pushed back against that.,positive,supports_festival,none,women in music industry,"The comment expresses positive sentiment, calling Lilith Fair 'inspiring' for challenging the male-dominated 90s music scene. It clearly supports the festival's impact on gender representation."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,4,"CBC keeps romanticizing the past. Lilith Fair was nice, but it mostly catered to a specific demographic.","CBC keeps romanticizing the past. Lilith Fair was nice, but it mostly catered to a specific demographic.",neutral,mixed,none,festival inclusivity and media portrayal,"The comment acknowledges a positive aspect ('nice') but critiques the festival's demographic reach, balancing praise with a specific criticism. It also includes a mild critique of the CBC's framing."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,5,I wish we had a modern version of Lilith Fair that included more diverse genres and identities.,I wish we had a modern version of Lilith Fair that included more diverse genres and identities.,positive,supports_festival,none,diversity and modern festivals,"The comment expresses a positive desire for a contemporary festival similar to Lilith Fair, specifically wishing for more diverse genres and identities. It supports the concept of a women-centric music festival while suggesting improvements for a modern iteration."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,6,This documentary made me nostalgic. The performances and stories really brought back memories.,This documentary made me nostalgic. The performances and stories really brought back memories.,positive,supports_festival,none,nostalgia,"The comment expresses positive feelings of nostalgia evoked by the documentary, which inherently supports the positive memory of the festival. There is no negative or toxic language."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,7,It sounds like the industry learned very little since the 90s. Women are still underrepresented on festival lineups.,It sounds like the industry learned very little since the 90s. Women are still underrepresented on festival lineups.,negative,supports_festival,none,women in music,"The comment expresses disappointment that the music industry hasn't improved representation for women, indicating a negative sentiment towards the industry's lack of progress. By highlighting the continued underrepresentation, it implicitly supports the original mission of Lilith Fair, which aimed to promote women artists."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,8,"Great doc, but I wanted more critical discussion of who got left out of the Lilith Fair story.","Great doc, but I wanted more critical discussion of who got left out of the Lilith Fair story.",neutral,mixed,none,representation and inclusivity in festival's narrative,"The comment praises the documentary but then raises a critical point about the lack of discussion regarding excluded groups from the Lilith Fair story, indicating a mixed sentiment and a nuanced stance on the festival's historical narrative."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,9,"I love how the festival used its platform for social causes, not just music.","I love how the festival used its platform for social causes, not just music.",positive,supports_festival,none,festival's social impact,"The comment expresses strong approval ('I love') for the festival's engagement with social causes, indicating a positive sentiment and supportive stance. There is no toxic language."
https://www.toronto.com/things-to-do/heres-what-to-expect-at-this-years-world-famous-distillery-winter-village-in-toronto/article_2bd6c2ca-1e2e-51f3-8cc9-ca0619eefe19.html,10,We need more content like this that celebrates women musicians and organizers.,We need more content like this that celebrates women musicians and organizers.,positive,supports_festival,none,women in music,"The comment is positive, expressing a desire for more content celebrating women musicians and organizers, aligning with the spirit of Lilith Fair. It shows no toxicity."
